Date       Time,Pres,Depth,temp-.01,temp0,temp5,Conduct,TDS,salinity,spec_grav
2017-07-22 11:20:13,1021.92,0.000,26.62,23.38,25.69,99.57,54,0.00,1.000
2017-07-22 11:20:20,1021.94,0.000,26.56,24.06,25.63,98.16,53,0.00,1.000
2017-07-22 11:20:26,1021.92,0.000,26.56,24.00,25.57,98.29,53,0.00,1.000
2017-07-22 11:20:32,1020.73,-0.012,26.50,24.00,25.57,98.29,53,0.00,1.000
2017-07-22 11:20:38,1021.92,0.000,26.44,24.00,25.44,98.29,53,0.00,1.000
2017-07-22 11:20:44,1021.90,-0.000,26.44,24.00,25.38,98.12,53,0.00,1.000
2017-07-22 11:20:50,1020.73,-0.012,26.38,24.06,25.32,98.17,53,0.00,1.000
2017-07-22 11:20:57,1021.92,0.000,26.31,24.06,21.94,98.00,53,0.00,1.000
2017-07-22 11:21:03,1021.92,0.000,26.25,24.06,19.44,98.16,53,0.00,1.000
2017-07-22 11:21:09,1021.92,0.000,26.12,24.06,18.63,98.16,53,0.00,1.000
2017-07-22 11:21:15,1021.90,-0.000,26.06,24.00,18.38,98.28,53,0.00,1.000
2017-07-22 11:21:21,1023.12,0.012,26.06,24.00,18.13,98.47,53,0.00,1.000
2017-07-22 11:21:27,1021.92,0.000,26.75,24.00,18.00,98.29,53,0.00,1.000
2017-07-22 11:21:34,1021.92,0.000,27.12,23.69,18.38,99.30,54,0.00,1.000
2017-07-22 11:21:40,1021.92,0.000,27.38,23.50,19.00,99.29,54,0.00,1.000
2017-07-22 11:21:47,1020.73,-0.012,27.44,23.25,19.69,99.81,54,0.00,1.000
2017-07-22 11:21:53,1021.90,-0.000,27.56,23.06,20.44,100.2,54,0.00,1.000
2017-07-22 11:21:59,1021.92,0.000,27.62,22.94,21.32,100.5,54,0.00,1.000
2017-07-22 11:22:05,1020.75,-0.012,27.69,22.81,20.13,100.9,54,0.00,1.000
2017-07-22 11:22:11,1021.92,0.000,27.88,22.69,18.69,101.0,55,0.00,1.000
2017-07-22 11:22:18,1021.90,-0.000,27.81,22.56,18.25,101.3,55,0.00,1.000
2017-07-22 11:22:24,1021.92,0.000,27.94,22.38,18.07,102.0,55,0.00,1.000
2017-07-22 11:22:30,1021.90,-0.000,27.38,22.25,18.00,102.3,55,0.00,1.000
2017-07-22 11:22:36,1020.71,-0.012,26.69,22.25,18.00,101.9,55,0.00,1.000
2017-07-22 11:22:42,1021.90,-0.000,26.12,22.19,18.63,102.3,55,0.00,1.000
2017-07-22 11:22:49,1021.90,-0.000,25.62,22.12,19.38,102.4,55,0.00,1.000
2017-07-22 11:22:55,1034.94,0.133,22.38,22.06,19.75,102.7,55,0.00,1.000
2017-07-22 11:23:01,1065.81,0.448,19.50,20.06,20.00,31160,16828,19.32,1.016
2017-07-22 11:23:07,1141.77,1.222,17.62,18.62,20.13,31770,17157,19.71,1.016
2017-07-22 11:23:13,1293.74,2.771,16.00,18.62,18.75,31230,16866,19.35,1.016
2017-07-22 11:23:19,1419.55,4.053,14.94,16.25,18.13,32400,17501,20.08,1.016
2017-07-22 11:23:26,1476.50,4.634,14.44,15.12,17.57,33151,17902,20.54,1.017
2017-07-22 11:23:32,1533.41,5.214,14.12,14.56,16.88,33721,18212,20.91,1.017
2017-07-22 11:23:38,1546.47,5.347,13.94,14.31,16.32,33781,18246,20.94,1.017
2017-07-22 11:23:44,1548.80,5.371,13.81,14.12,16.19,33911,18314,21.02,1.017
2017-07-22 11:23:50,1549.99,5.383,13.69,14.00,16.07,34021,18374,21.09,1.017
2017-07-22 11:23:57,1549.88,5.382,13.69,13.94,16.07,34001,18361,21.07,1.017
2017-07-22 11:24:03,1548.69,5.370,13.62,13.88,16.07,34001,18361,21.07,1.017
2017-07-22 11:24:09,1530.89,5.188,13.69,13.81,16.19,34001,18364,21.07,1.017
2017-07-22 11:24:15,1509.49,4.970,13.81,13.88,16.44,33981,18350,21.05,1.017
2017-07-22 11:24:21,1502.33,4.897,13.81,13.94,16.63,33931,18327,21.03,1.017
2017-07-22 11:24:28,1490.46,4.776,13.88,14.00,16.75,33881,18299,21.00,1.017
2017-07-22 11:24:35,1497.55,4.849,13.88,14.00,16.75,33901,18309,21.01,1.017
2017-07-22 11:24:41,1482.08,4.691,13.88,14.00,16.82,33901,18309,21.01,1.017
2017-07-22 11:24:47,1455.94,4.424,13.94,14.00,16.88,33921,18318,21.02,1.017
2017-07-22 11:24:53,1452.42,4.388,14.00,14.06,16.94,33871,18294,20.99,1.017
2017-07-22 11:24:59,1455.94,4.424,14.00,14.06,17.00,33881,18300,21.00,1.017
2017-07-22 11:25:05,1463.03,4.497,14.00,14.12,16.88,33821,18265,20.96,1.017
2017-07-22 11:25:12,1444.04,4.303,14.00,14.06,16.88,33901,18307,21.01,1.017
2017-07-22 11:25:18,1495.00,4.822,13.94,14.12,16.69,33831,18270,20.97,1.017
2017-07-22 11:25:24,1453.50,4.400,13.94,14.06,16.57,33851,18281,20.98,1.017
2017-07-22 11:25:30,1416.69,4.024,14.00,14.06,16.50,33911,18315,21.02,1.017
2017-07-22 11:25:36,1427.33,4.133,14.00,14.12,16.13,33831,18269,20.97,1.017
2017-07-22 11:25:42,1420.18,4.060,14.00,14.12,15.88,33801,18255,20.95,1.017
2017-07-22 11:25:49,1429.67,4.157,14.00,14.06,15.76,33861,18284,20.98,1.017
2017-07-22 11:25:55,1434.42,4.205,13.88,14.06,15.69,33821,18267,20.96,1.017
2017-07-22 11:26:01,1397.60,3.830,13.94,14.06,15.82,33841,18277,20.97,1.017
2017-07-22 11:26:07,1408.22,3.938,13.94,14.06,15.82,33841,18278,20.97,1.017
2017-07-22 11:26:13,1510.20,4.978,13.81,14.06,15.57,33791,18251,20.94,1.017
2017-07-22 11:26:19,1460.38,4.470,13.81,13.94,15.57,33881,18296,20.99,1.017
2017-07-22 11:26:26,1423.61,4.095,13.81,13.94,15.63,33891,18305,21.00,1.017
2017-07-22 11:26:32,1475.73,4.626,13.81,13.94,15.57,33911,18313,21.01,1.017
2017-07-22 11:26:38,1485.18,4.722,13.75,13.94,15.51,33881,18297,20.99,1.017
2017-07-22 11:26:44,1442.48,4.287,13.81,13.88,15.51,33931,18327,21.03,1.017
2017-07-22 11:26:50,1412.80,3.985,13.81,13.94,15.69,33901,18307,21.00,1.017
2017-07-22 11:26:56,1413.95,3.996,13.81,13.94,15.69,33911,18316,21.02,1.017
2017-07-22 11:27:03,1482.71,4.697,13.81,14.00,15.51,33841,18275,20.97,1.017
2017-07-22 11:27:09,1601.23,5.905,13.69,13.94,15.38,33831,18272,20.96,1.017
2017-07-22 11:27:15,2006.64,10.038,13.38,13.75,14.44,33891,18305,20.99,1.017
2017-07-22 11:27:21,2466.36,14.724,13.12,13.50,13.76,33911,18313,20.99,1.017
2017-07-22 11:27:27,2998.83,20.152,12.88,13.25,13.32,33961,18342,21.01,1.017
2017-07-22 11:27:33,3596.56,26.245,12.75,13.00,13.01,34041,18386,21.05,1.017
2017-07-22 11:27:40,4197.44,32.370,12.69,12.81,12.88,34151,18445,21.12,1.017
2017-07-22 11:27:46,4768.66,38.193,12.62,12.75,12.82,34171,18455,21.13,1.017
2017-07-22 11:27:52,5368.24,44.305,12.62,12.75,12.82,34171,18453,21.13,1.017
2017-07-22 11:27:58,5936.87,50.102,12.62,12.69,12.82,34221,18480,21.16,1.017
2017-07-22 11:28:04,6523.54,56.082,12.62,12.69,12.76,34211,18475,21.15,1.017
2017-07-22 11:28:10,7107.39,62.033,12.62,12.69,12.76,34211,18474,21.15,1.017
2017-07-22 11:28:17,7314.56,64.145,12.56,12.69,12.76,34151,18446,21.11,1.017
2017-07-22 11:28:23,7313.29,64.132,12.56,12.69,12.76,34171,18455,21.12,1.017
2017-07-22 11:28:29,7313.03,64.130,12.56,12.69,12.76,34181,18459,21.13,1.017
2017-07-22 11:28:35,7314.71,64.147,12.56,12.69,12.76,34201,18470,21.14,1.017
2017-07-22 11:28:41,7314.97,64.149,12.56,12.69,12.76,34211,18478,21.15,1.017
2017-07-22 11:28:47,7314.05,64.140,12.62,12.69,12.76,34221,18483,21.16,1.017
2017-07-22 11:28:54,7314.31,64.143,12.56,12.69,12.76,34231,18486,21.16,1.017
2017-07-22 11:29:00,7314.56,64.145,12.56,12.69,12.76,34231,18487,21.16,1.017
2017-07-22 11:29:06,7313.39,64.133,12.56,12.69,12.76,34241,18490,21.17,1.017
2017-07-22 11:29:12,7314.56,64.145,12.56,12.69,12.76,34241,18492,21.17,1.017
2017-07-22 11:29:18,7313.39,64.133,12.56,12.69,12.69,34231,18487,21.16,1.017
2017-07-22 11:29:24,7313.13,64.131,12.62,12.69,12.69,34231,18487,21.16,1.017
2017-07-22 11:29:31,7313.13,64.131,12.56,12.69,12.76,34241,18491,21.17,1.017
2017-07-22 11:29:37,7313.80,64.137,12.56,12.69,12.69,34241,18491,21.17,1.017
2017-07-22 11:29:43,7313.54,64.135,12.56,12.69,12.69,34241,18491,21.17,1.017
2017-07-22 11:29:49,7314.46,64.144,12.56,12.69,12.69,34231,18486,21.16,1.017
2017-07-22 11:29:55,7312.78,64.127,12.56,12.69,12.69,34231,18487,21.16,1.017
2017-07-22 11:30:01,7313.69,64.136,12.56,12.69,12.69,34241,18490,21.17,1.017
2017-07-22 11:30:08,7313.18,64.131,12.56,12.69,12.69,34241,18490,21.17,1.017
2017-07-22 11:30:14,7313.85,64.138,12.56,12.69,12.69,34231,18487,21.16,1.017
2017-07-22 11:30:20,7313.34,64.133,12.62,12.69,12.69,34231,18488,21.17,1.017
2017-07-22 11:30:26,7311.91,64.118,12.56,12.69,12.69,34231,18489,21.17,1.017
2017-07-22 11:30:32,7313.75,64.137,12.56,12.69,12.69,34231,18486,21.16,1.017
2017-07-22 11:30:38,7314.41,64.144,12.56,12.69,12.69,34231,18488,21.17,1.017
2017-07-22 11:30:45,7311.55,64.115,12.56,12.69,12.69,34241,18492,21.17,1.017
2017-07-22 11:30:51,7314.82,64.148,12.56,12.69,12.69,34251,18495,21.17,1.017
2017-07-22 11:30:57,7314.05,64.140,12.56,12.69,12.69,34241,18494,21.17,1.017
2017-07-22 11:31:03,7313.54,64.135,12.56,12.69,12.69,34241,18494,21.17,1.017
