date    time,pressure,depth M,Depth F,temp C,Temp F
2017-08-10 09:42:47,988.36,-0.008,-0.027,19.80,67.63
2017-08-10 09:42:50,988.36,-0.008,-0.027,19.80,67.63
2017-08-10 09:42:54,987.26,0.003,0.010,19.77,67.59
2017-08-10 09:42:57,986.15,0.014,0.047,19.79,67.61
2017-08-10 09:43:00,986.15,0.014,0.047,19.79,67.61
2017-08-10 09:43:03,986.15,0.014,0.047,19.80,67.63
2017-08-10 09:43:06,986.15,0.014,0.047,19.77,67.59
2017-08-10 09:43:09,986.13,0.014,0.048,19.79,67.61
2017-08-10 09:43:13,986.13,0.014,0.048,19.76,67.57
2017-08-10 09:43:16,987.24,0.003,0.010,19.77,67.59
2017-08-10 09:43:19,987.24,0.003,0.010,19.75,67.56
2017-08-10 09:43:22,986.13,0.014,0.048,19.76,67.57
2017-08-10 09:43:25,987.24,0.003,0.010,19.75,67.56
2017-08-10 09:43:28,987.24,0.003,0.010,19.77,67.59
2017-08-10 09:43:31,987.24,0.003,0.010,19.76,67.57
2017-08-10 09:43:35,988.35,-0.008,-0.027,19.76,67.57
2017-08-10 09:43:38,987.22,0.003,0.011,19.75,67.56
2017-08-10 09:43:41,987.22,0.003,0.011,19.75,67.56
2017-08-10 09:43:44,988.33,-0.008,-0.026,19.75,67.56
2017-08-10 09:43:47,988.33,-0.008,-0.026,19.73,67.52
2017-08-10 09:43:51,987.22,0.003,0.011,19.75,67.56
2017-08-10 09:43:54,987.22,0.003,0.011,19.73,67.52
2017-08-10 09:43:57,988.35,-0.008,-0.027,19.73,67.52
2017-08-10 09:44:00,988.35,-0.008,-0.027,19.73,67.52
2017-08-10 09:44:03,987.22,0.003,0.011,19.74,67.54
2017-08-10 09:44:06,989.44,-0.019,-0.063,19.74,67.54
2017-08-10 09:44:10,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:44:13,988.33,-0.008,-0.026,19.73,67.52
2017-08-10 09:44:16,987.22,0.003,0.011,19.73,67.52
2017-08-10 09:44:19,988.33,-0.008,-0.026,19.73,67.52
2017-08-10 09:44:22,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:44:26,987.22,0.003,0.011,19.73,67.52
2017-08-10 09:44:29,987.22,0.003,0.011,19.74,67.54
2017-08-10 09:44:32,988.33,-0.008,-0.026,19.71,67.48
2017-08-10 09:44:35,989.44,-0.019,-0.063,19.72,67.50
2017-08-10 09:44:38,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:44:41,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:44:45,987.22,0.003,0.011,19.71,67.48
2017-08-10 09:44:48,987.22,0.003,0.011,19.72,67.50
2017-08-10 09:44:51,987.22,0.003,0.011,19.71,67.48
2017-08-10 09:44:54,987.22,0.003,0.011,19.72,67.50
2017-08-10 09:44:57,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:00,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:04,988.31,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:07,987.20,0.004,0.012,19.72,67.50
2017-08-10 09:45:10,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:13,987.22,0.003,0.011,19.72,67.50
2017-08-10 09:45:16,987.22,0.003,0.011,19.72,67.50
2017-08-10 09:45:20,987.22,0.003,0.011,19.72,67.50
2017-08-10 09:45:23,987.22,0.003,0.011,19.72,67.50
2017-08-10 09:45:26,987.22,0.003,0.011,19.71,67.48
2017-08-10 09:45:29,988.31,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:32,987.20,0.004,0.012,19.72,67.50
2017-08-10 09:45:36,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:39,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:42,988.31,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:45,987.20,0.004,0.012,19.70,67.46
2017-08-10 09:45:48,988.31,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:51,989.44,-0.019,-0.063,19.71,67.48
2017-08-10 09:45:55,988.31,-0.008,-0.026,19.72,67.50
2017-08-10 09:45:58,988.31,-0.008,-0.026,19.72,67.50
2017-08-10 09:46:01,988.33,-0.008,-0.026,19.72,67.50
2017-08-10 09:46:04,989.42,-0.019,-0.063,19.71,67.48
2017-08-10 09:46:07,987.20,0.004,0.012,19.72,67.50
2017-08-10 09:46:10,988.31,-0.008,-0.026,19.73,67.52
2017-08-10 09:46:14,989.42,-0.019,-0.063,19.69,67.44
2017-08-10 09:46:17,990.55,-0.031,-0.100,19.61,67.30
2017-08-10 09:46:20,989.90,-0.024,-0.079,26.90,80.41
2017-08-10 09:46:23,991.00,-0.035,-0.115,30.09,86.17
2017-08-10 09:46:26,989.81,-0.023,-0.076,30.98,87.77
2017-08-10 09:46:30,990.69,-0.032,-0.105,31.58,88.85
2017-08-10 09:46:33,989.15,-0.016,-0.054,32.09,89.76
2017-08-10 09:46:36,990.85,-0.034,-0.110,32.46,90.43
2017-08-10 09:46:39,990.24,-0.027,-0.090,32.76,90.97
2017-08-10 09:46:42,990.67,-0.032,-0.104,33.01,91.42
2017-08-10 09:46:45,991.03,-0.035,-0.116,33.18,91.73
2017-08-10 09:46:49,991.36,-0.039,-0.127,33.33,92.00
2017-08-10 09:46:52,990.51,-0.030,-0.099,33.50,92.30
2017-08-10 09:46:55,990.78,-0.033,-0.108,33.65,92.57
2017-08-10 09:46:58,989.88,-0.024,-0.078,33.80,92.84
2017-08-10 09:47:01,990.10,-0.026,-0.085,33.88,92.98
2017-08-10 09:47:05,990.29,-0.028,-0.092,33.96,93.13
2017-08-10 09:47:08,990.48,-0.030,-0.098,34.07,93.33
2017-08-10 09:47:11,990.63,-0.031,-0.103,34.14,93.44
2017-08-10 09:47:14,990.80,-0.033,-0.109,34.19,93.54
2017-08-10 09:47:17,990.96,-0.035,-0.114,34.29,93.71
2017-08-10 09:47:20,991.11,-0.036,-0.119,34.38,93.89
2017-08-10 09:47:24,992.37,-0.049,-0.161,34.46,94.02
2017-08-10 09:47:27,991.36,-0.039,-0.127,34.56,94.22
2017-08-10 09:47:30,991.51,-0.040,-0.132,34.64,94.35
2017-08-10 09:47:33,992.80,-0.054,-0.176,34.70,94.47
2017-08-10 09:47:36,994.02,-0.066,-0.216,34.75,94.54
2017-08-10 09:47:40,991.82,-0.044,-0.143,34.78,94.60
2017-08-10 09:47:43,990.79,-0.033,-0.108,34.82,94.68
2017-08-10 09:47:46,990.91,-0.034,-0.112,34.89,94.79
2017-08-10 09:47:49,992.12,-0.047,-0.153,34.91,94.83
2017-08-10 09:47:52,989.95,-0.024,-0.080,34.96,94.93
2017-08-10 09:47:56,991.19,-0.037,-0.122,35.05,95.08
2017-08-10 09:47:59,992.43,-0.050,-0.163,35.11,95.20
2017-08-10 09:48:02,992.51,-0.051,-0.166,35.19,95.34
2017-08-10 09:48:05,991.47,-0.040,-0.131,35.24,95.43
2017-08-10 09:48:08,990.42,-0.029,-0.096,35.27,95.49
2017-08-10 09:48:12,990.50,-0.030,-0.099,35.29,95.53
2017-08-10 09:48:15,991.67,-0.042,-0.138,35.35,95.62
2017-08-10 09:48:18,990.61,-0.031,-0.102,35.38,95.68
2017-08-10 09:48:21,990.68,-0.032,-0.105,35.42,95.76
2017-08-10 09:48:24,990.76,-0.033,-0.107,35.48,95.86
2017-08-10 09:48:28,993.10,-0.057,-0.186,35.54,95.97
2017-08-10 09:48:31,992.04,-0.046,-0.150,35.57,96.03
2017-08-10 09:48:34,993.24,-0.058,-0.190,35.58,96.05
2017-08-10 09:48:37,993.31,-0.059,-0.193,35.63,96.13
2017-08-10 09:48:40,992.21,-0.048,-0.156,35.63,96.13
2017-08-10 09:48:43,992.26,-0.048,-0.158,35.67,96.20
2017-08-10 09:48:47,992.31,-0.049,-0.159,35.69,96.24
2017-08-10 09:48:50,992.38,-0.049,-0.162,35.72,96.30
2017-08-10 09:48:53,992.42,-0.050,-0.163,35.77,96.38
2017-08-10 09:48:56,992.47,-0.050,-0.165,35.80,96.44
2017-08-10 09:48:59,992.54,-0.051,-0.167,35.81,96.45
2017-08-10 09:49:02,991.44,-0.040,-0.130,35.83,96.49
2017-08-10 09:49:06,992.64,-0.052,-0.170,35.87,96.57
2017-08-10 09:49:09,991.56,-0.041,-0.134,35.89,96.61
2017-08-10 09:49:12,992.77,-0.053,-0.174,35.93,96.67
