Date       Time,Pres,Depth,temp-.01,temp0,temp3.8,Conduct,TDS,salinity,spec_grav
2017-07-27 13:08:07,1019.28,-0.000,17.62,17.25,15.07,113.5,61,0.00,1.000
2017-07-27 13:08:11,1020.45,-0.012,17.62,17.25,15.07,113.7,61,0.00,1.000
2017-07-27 13:08:16,1018.09,0.012,17.62,17.25,15.01,113.5,61,0.00,1.000
2017-07-27 13:08:20,1019.26,0.000,17.56,17.25,15.01,113.5,61,0.00,1.000
2017-07-27 13:08:24,1016.92,0.024,17.56,17.25,15.01,113.7,61,0.00,1.000
2017-07-27 13:08:28,1019.25,0.000,17.56,17.19,15.01,113.6,61,0.00,1.000
2017-07-27 13:08:32,1019.26,0.000,17.56,17.19,15.01,113.6,61,0.00,1.000
2017-07-27 13:08:37,1016.90,0.024,17.56,17.19,15.07,113.9,61,0.00,1.000
2017-07-27 13:08:41,1018.07,0.012,17.56,17.19,15.01,113.4,61,0.00,1.000
2017-07-27 13:08:45,1016.88,0.024,17.56,17.19,15.01,113.6,61,0.00,1.000
2017-07-27 13:08:49,1018.06,0.012,17.56,17.19,15.01,113.6,61,0.00,1.000
2017-07-27 13:08:53,1021.59,-0.024,17.62,17.19,15.01,113.4,61,0.00,1.000
2017-07-27 13:08:57,1018.07,0.012,17.56,17.12,15.01,113.8,61,0.00,1.000
2017-07-27 13:09:02,1018.04,0.012,17.62,17.12,15.01,113.6,61,0.00,1.000
2017-07-27 13:09:06,1018.06,0.012,17.62,17.12,15.01,113.6,61,0.00,1.000
2017-07-27 13:09:11,1018.06,0.012,17.62,17.12,15.01,114.0,62,0.00,1.000
2017-07-27 13:09:15,1016.88,0.024,17.62,17.12,15.01,114.0,62,0.00,1.000
2017-07-27 13:09:19,1016.88,0.024,17.69,17.12,15.01,113.7,61,0.00,1.000
2017-07-27 13:09:23,1016.87,0.024,17.69,17.12,15.01,113.7,61,0.00,1.000
2017-07-27 13:09:28,1016.88,0.024,17.69,17.12,15.01,113.8,61,0.00,1.000
2017-07-27 13:09:32,1015.71,0.036,17.69,17.12,15.01,113.5,61,0.00,1.000
2017-07-27 13:09:36,1019.21,0.001,17.75,17.19,15.01,113.6,61,0.00,1.000
2017-07-27 13:09:40,1018.06,0.012,17.75,17.19,15.01,113.6,61,0.00,1.000
2017-07-27 13:09:44,1018.04,0.012,17.75,17.19,15.01,113.6,61,0.00,1.000
2017-07-27 13:09:49,1015.69,0.036,17.75,17.19,15.01,113.6,61,0.00,1.000
2017-07-27 13:09:53,1016.85,0.025,17.75,17.19,15.01,113.6,61,0.00,1.000
2017-07-27 13:09:57,1021.55,-0.023,17.75,17.19,15.01,113.4,61,0.00,1.000
2017-07-27 13:10:01,1019.19,0.001,17.75,17.12,15.01,113.8,61,0.00,1.000
2017-07-27 13:10:05,1018.02,0.013,17.75,17.12,15.01,113.8,61,0.00,1.000
2017-07-27 13:10:09,1019.17,0.001,17.81,17.19,15.01,31190,16845,19.28,1.016
2017-07-27 13:10:13,1019.21,0.001,17.88,17.19,15.01,3389,1830,1.77,1.002
2017-07-27 13:10:18,1021.54,-0.023,16.94,16.88,15.01,32630,17620,20.25,1.016
2017-07-27 13:10:23,1049.57,-0.309,15.88,15.94,15.01,33281,17974,20.67,1.017
2017-07-27 13:10:27,1082.27,-0.642,15.38,15.56,15.01,33511,18100,20.81,1.017
2017-07-27 13:10:32,1198.18,-1.824,14.88,15.25,15.01,33371,18024,20.70,1.017
2017-07-27 13:10:36,1264.90,-2.504,14.38,14.69,15.01,33681,18192,20.89,1.017
2017-07-27 13:10:40,1364.46,-3.519,14.12,14.38,15.01,33901,18308,21.03,1.017
2017-07-27 13:10:45,1386.68,-3.745,14.00,14.12,15.01,34191,18467,21.22,1.017
2017-07-27 13:10:49,1454.47,-4.436,14.00,14.00,14.94,34221,18481,21.23,1.017
2017-07-27 13:10:53,1468.42,-4.579,13.88,13.94,14.76,34251,18496,21.24,1.017
2017-07-27 13:10:57,1508.12,-4.983,13.81,13.88,14.57,34271,18511,21.26,1.017
2017-07-27 13:11:01,1577.04,-5.686,13.75,13.81,14.32,34291,18519,21.26,1.017
2017-07-27 13:11:05,1751.24,-7.462,13.69,13.75,14.07,34221,18480,21.21,1.017
2017-07-27 13:11:09,1931.06,-9.295,13.56,13.62,13.88,34311,18530,21.27,1.017
2017-07-27 13:11:14,2293.11,-12.985,13.50,13.56,13.63,34291,18517,21.25,1.017
2017-07-27 13:11:18,2667.50,-16.802,13.31,13.38,13.38,34271,18510,21.23,1.017
2017-07-27 13:11:22,3035.67,-20.555,13.19,13.19,13.19,34441,18598,21.33,1.017
2017-07-27 13:11:26,3399.03,-24.259,13.06,13.06,13.07,34581,18677,21.43,1.017
2017-07-27 13:11:30,3787.63,-28.220,13.06,13.00,13.01,34621,18700,21.45,1.017
2017-07-27 13:11:35,4171.63,-32.134,13.00,13.00,13.01,34421,18591,21.31,1.017
2017-07-27 13:11:39,4568.35,-36.178,13.00,13.00,13.01,34431,18596,21.32,1.017
2017-07-27 13:11:43,4963.49,-40.206,13.00,13.00,13.01,33551,18119,20.72,1.017
2017-07-27 13:11:47,5336.57,-44.009,12.94,12.94,12.94,30010,16209,18.34,1.015
2017-07-27 13:11:51,5642.44,-47.127,12.94,12.94,12.94,32060,17313,19.71,1.016
2017-07-27 13:11:55,5965.90,-50.424,12.94,12.88,12.88,33361,18019,20.59,1.017
2017-07-27 13:12:00,6340.35,-54.241,12.94,12.88,12.88,32831,17733,20.23,1.016
2017-07-27 13:12:04,6726.34,-58.176,12.88,12.88,12.88,33101,17874,20.41,1.017
2017-07-27 13:12:08,6803.44,-58.962,12.81,12.81,12.88,32600,17605,20.07,1.016
2017-07-27 13:12:12,6803.44,-58.962,12.81,12.81,12.82,32821,17728,20.22,1.016
2017-07-27 13:12:16,6803.20,-58.960,12.75,12.81,12.82,32991,17819,20.33,1.016
2017-07-27 13:12:21,6804.37,-58.971,12.75,12.81,12.82,33141,17899,20.43,1.017
2017-07-27 13:12:25,6804.85,-58.976,12.75,12.81,12.82,33231,17945,20.49,1.017
2017-07-27 13:12:29,6805.33,-58.981,12.75,12.81,12.82,33311,17990,20.55,1.017
2017-07-27 13:12:33,6802.32,-58.951,12.75,12.81,12.82,33351,18010,20.57,1.017
2017-07-27 13:12:37,6797.66,-58.903,12.75,12.81,12.82,33471,18074,20.65,1.017
2017-07-27 13:12:41,6802.56,-58.953,12.75,12.81,12.82,33551,18119,20.71,1.017
2017-07-27 13:12:45,6800.72,-58.934,12.75,12.81,12.82,33591,18139,20.73,1.017
2017-07-27 13:12:50,6802.13,-58.949,12.75,12.81,12.82,33611,18152,20.75,1.017
2017-07-27 13:12:54,6802.61,-58.954,12.75,12.81,12.82,33631,18163,20.76,1.017
2017-07-27 13:12:58,6802.61,-58.954,12.75,12.81,12.82,33631,18163,20.76,1.017
