Date       Time,Pres,Depth M,Depth ft,temp-.01,temp0c,temp0f,temp3.8,Conduct,TDS,salinity,spec_grav
2017-08-07 10:22:00,1012.97,0.006,0.020,17.38,18.38,65.08,17.25,110.4,60,0.00,1.000
2017-08-07 10:22:04,1011.78,0.018,0.060,17.38,18.38,65.08,17.25,110.4,60,0.00,1.000
2017-08-07 10:22:08,1011.78,0.018,0.060,17.38,18.38,65.08,17.25,110.6,60,0.00,1.000
2017-08-07 10:22:12,1014.13,-0.006,-0.019,17.44,18.38,65.08,17.25,110.4,60,0.00,1.000
2017-08-07 10:22:16,1015.30,-0.018,-0.058,17.50,18.38,65.08,17.25,110.4,60,0.00,1.000
2017-08-07 10:22:21,1014.11,-0.006,-0.018,17.50,18.44,65.19,17.25,110.4,60,0.00,1.000
2017-08-07 10:22:25,1014.11,-0.006,-0.018,17.50,18.44,65.19,17.25,110.6,60,0.00,1.000
2017-08-07 10:22:29,1014.11,-0.006,-0.018,17.50,18.44,65.19,17.25,110.4,60,0.00,1.000
2017-08-07 10:22:33,1014.11,-0.006,-0.018,17.44,18.38,65.08,17.25,110.8,60,0.00,1.000
2017-08-07 10:22:37,1014.09,-0.005,-0.018,17.38,18.38,65.08,17.25,110.6,60,0.00,1.000
2017-08-07 10:22:41,1010.57,0.031,0.100,17.38,18.38,65.08,17.25,110.8,60,0.00,1.000
2017-08-07 10:22:46,1014.09,-0.005,-0.018,17.31,18.38,65.08,17.25,110.6,60,0.00,1.000
2017-08-07 10:22:50,1011.73,0.019,0.062,17.31,18.38,65.08,17.25,110.4,60,0.00,1.000
2017-08-07 10:22:54,1011.73,0.019,0.062,17.31,18.31,64.96,17.25,111.0,60,0.00,1.000
2017-08-07 10:22:58,1011.73,0.019,0.062,17.31,18.31,64.96,17.25,110.8,60,0.00,1.000
2017-08-07 10:23:02,1012.90,0.007,0.022,17.38,18.31,64.96,17.25,110.8,60,0.00,1.000
2017-08-07 10:23:06,1012.88,0.007,0.023,17.44,18.19,64.74,17.25,111.1,60,0.00,1.000
