Date       Time,Pres,Depth,temp-.01,temp0,temp5,Conduct,TDS,salinity,spec_grav,N sal,Nsg
2017-08-31 19:23:29,1014.67,0.018,22.69,22.38,22.07,104.8,57,0.00,1.000,0.06,1.002
2017-08-31 19:23:34,1015.83,0.006,22.69,22.38,22.00,105.0,57,0.00,1.000,0.06,1.002
2017-08-31 19:23:38,1018.19,-0.018,22.69,22.38,22.00,105.0,57,0.00,1.000,0.06,1.002
2017-08-31 19:23:43,1015.85,0.006,22.69,22.38,22.00,104.8,57,0.00,1.000,0.06,1.002
2017-08-31 19:23:47,1012.29,0.042,22.75,22.31,22.00,105.1,57,0.00,1.000,0.06,1.002
2017-08-31 19:23:53,1017.01,-0.006,22.75,22.31,22.00,105.1,57,0.00,1.000,0.06,1.002
2017-08-31 19:23:58,1018.19,-0.018,22.81,22.31,22.00,105.3,57,0.00,1.000,0.06,1.002
2017-08-31 19:24:02,1017.01,-0.006,22.81,22.38,22.00,105.1,57,0.00,1.000,0.06,1.002
2017-08-31 19:24:07,1018.21,-0.018,22.81,22.38,19.75,105.4,57,0.00,1.000,0.06,1.002
2017-08-31 19:24:14,1018.21,-0.018,22.69,22.44,19.32,105.2,57,0.00,1.000,0.06,1.002
2017-08-31 19:24:19,1015.83,0.006,20.44,22.38,19.32,26830,14492,16.42,1.013,17.24,1.015
2017-08-31 19:24:24,1021.74,-0.053,18.75,21.12,19.32,28870,15592,17.78,1.014,19.23,1.017
2017-08-31 19:24:28,1021.70,-0.053,18.00,19.19,19.38,30050,16228,18.55,1.015,21.02,1.019
2017-08-31 19:24:33,1037.94,-0.215,17.69,18.31,19.38,30860,16666,19.09,1.015,22.10,1.020
2017-08-31 19:24:37,1110.92,-0.944,17.44,17.81,19.44,31270,16891,19.36,1.016,22.68,1.021
2017-08-31 19:24:42,1190.89,-1.741,17.12,17.56,19.50,31340,16928,19.40,1.016,22.86,1.021
2017-08-31 19:24:47,1538.34,-5.200,16.31,17.12,18.32,31270,16890,19.34,1.016,22.96,1.023
2017-08-31 19:24:52,1713.25,-6.931,15.56,16.19,16.82,31880,17219,19.72,1.016,23.95,1.025
2017-08-31 19:24:56,1716.08,-6.954,15.44,15.62,16.25,32450,17525,20.09,1.016,24.77,1.026
2017-08-31 19:25:01,1713.32,-6.925,15.31,15.31,16.00,32570,17589,20.16,1.016,25.07,1.026
2017-08-31 19:25:05,1715.50,-6.945,15.25,15.12,15.88,32730,17676,20.26,1.016,25.32,1.026
2017-08-31 19:25:10,1717.81,-6.967,15.19,15.00,15.76,32821,17723,20.32,1.016,25.48,1.026
2017-08-31 19:25:15,1714.19,-6.931,15.12,14.94,15.76,32781,17703,20.29,1.016,25.48,1.026
